snr_db,mc_idx,mc_seed,gamma_eff,chi,BER_Net,NMSE_Net,BER_LMMSE,BER_GAMP
-5,0,191664964,1000000000.0,0.5710050573003417,,,0.2885284423828125,0.28856658935546875
-5,1,1662057958,1000000000.0,0.5710050573003417,,,0.28765869140625,0.2876434326171875
-5,2,1405681632,1000000000.0,0.5710050573003417,,,0.2852325439453125,0.2852630615234375
-5,3,942484272,1000000000.0,0.5710050573003417,,,0.28757476806640625,0.2875823974609375
-5,4,929893138,1000000000.0,0.5710050573003417,,,0.28737640380859375,0.287445068359375
-5,5,1843824993,1000000000.0,0.5710050573003417,,,0.28601837158203125,0.2860565185546875
-5,6,184566854,1000000000.0,0.5710050573003417,,,0.286346435546875,0.286407470703125
-5,7,1497586439,1000000000.0,0.5710050573003417,,,0.28839111328125,0.28839874267578125
-5,8,432652533,1000000000.0,0.5710050573003417,,,0.28806304931640625,0.288055419921875
-5,9,202244314,1000000000.0,0.5710050573003417,,,0.2860565185546875,0.2860260009765625
-3,0,1130604998,1000000000.0,0.5385400364509147,,,0.2395782470703125,0.2395782470703125
-3,1,2095133046,1000000000.0,0.5385400364509147,,,0.2407989501953125,0.2408599853515625
-3,2,1580016184,1000000000.0,0.5385400364509147,,,0.24079132080078125,0.24078369140625
-3,3,1634535063,1000000000.0,0.5385400364509147,,,0.23974609375,0.2397003173828125
-3,4,1540770720,1000000000.0,0.5385400364509147,,,0.23775482177734375,0.23775482177734375
-3,5,1688060241,1000000000.0,0.5385400364509147,,,0.23947906494140625,0.23944091796875
-3,6,1102145673,1000000000.0,0.5385400364509147,,,0.2385711669921875,0.23860931396484375
-3,7,275121931,1000000000.0,0.5385400364509147,,,0.23964691162109375,0.239654541015625
-3,8,1803345591,1000000000.0,0.5385400364509147,,,0.2393035888671875,0.23928070068359375
-3,9,967196436,1000000000.0,0.5385400364509147,,,0.23925018310546875,0.23925018310546875
-1,0,1074497556,1000000000.0,0.49402331456484533,,,0.1865234375,0.1865234375
-1,1,796282693,1000000000.0,0.49402331456484533,,,0.18856048583984375,0.18851470947265625
-1,2,392022359,1000000000.0,0.49402331456484533,,,0.1865234375,0.1865234375
-1,3,1990212659,1000000000.0,0.49402331456484533,,,0.18714141845703125,0.1871490478515625
-1,4,1678403331,1000000000.0,0.49402331456484533,,,0.1887054443359375,0.18871307373046875
-1,5,1382689816,1000000000.0,0.49402331456484533,,,0.18810272216796875,0.18805694580078125
-1,6,864178267,1000000000.0,0.49402331456484533,,,0.185211181640625,0.1851806640625
-1,7,1766867110,1000000000.0,0.49402331456484533,,,0.18543243408203125,0.18541717529296875
-1,8,1171300113,1000000000.0,0.49402331456484533,,,0.18653106689453125,0.1865234375
-1,9,952224741,1000000000.0,0.49402331456484533,,,0.18801116943359375,0.18802642822265625
1,0,967354525,1000000000.0,0.4367982757470164,,,0.13262176513671875,0.1326141357421875
1,1,487991439,1000000000.0,0.4367982757470164,,,0.13042449951171875,0.13043212890625
1,2,197860369,1000000000.0,0.4367982757470164,,,0.13213348388671875,0.13211822509765625
1,3,1190961761,1000000000.0,0.4367982757470164,,,0.131591796875,0.131591796875
1,4,1906728919,1000000000.0,0.4367982757470164,,,0.13060760498046875,0.1305999755859375
1,5,137046513,1000000000.0,0.4367982757470164,,,0.13077545166015625,0.13079833984375
1,6,1843166519,1000000000.0,0.4367982757470164,,,0.12940216064453125,0.1294097900390625
1,7,1777324408,1000000000.0,0.4367982757470164,,,0.13063812255859375,0.130615234375
1,8,594336918,1000000000.0,0.4367982757470164,,,0.1313323974609375,0.13132476806640625
1,9,1356488968,1000000000.0,0.4367982757470164,,,0.12911224365234375,0.12908935546875
3,0,354826746,1000000000.0,0.3690466240633442,,,0.07869720458984375,0.07866668701171875
3,1,1627981025,1000000000.0,0.3690466240633442,,,0.0789947509765625,0.07898712158203125
3,2,1504361615,1000000000.0,0.3690466240633442,,,0.07863616943359375,0.0786285400390625
3,3,761338719,1000000000.0,0.3690466240633442,,,0.07874298095703125,0.078765869140625
3,4,145857092,1000000000.0,0.3690466240633442,,,0.07906341552734375,0.0790557861328125
3,5,2084558134,1000000000.0,0.3690466240633442,,,0.07861328125,0.0785980224609375
3,6,957106590,1000000000.0,0.3690466240633442,,,0.0786895751953125,0.0786895751953125
3,7,1917963003,1000000000.0,0.3690466240633442,,,0.07817840576171875,0.07817840576171875
3,8,1455819992,1000000000.0,0.3690466240633442,,,0.07971954345703125,0.07970428466796875
3,9,1671565831,1000000000.0,0.3690466240633442,,,0.0800018310546875,0.0800018310546875
5,0,1631871624,1000000000.0,0.29622495709231156,,,0.03763580322265625,0.03763580322265625
5,1,417983442,1000000000.0,0.29622495709231156,,,0.0386199951171875,0.0386199951171875
5,2,781482251,1000000000.0,0.29622495709231156,,,0.03771209716796875,0.03771209716796875
5,3,1002275723,1000000000.0,0.29622495709231156,,,0.03789520263671875,0.0379180908203125
5,4,1068999196,1000000000.0,0.29622495709231156,,,0.03740692138671875,0.0373992919921875
5,5,94067870,1000000000.0,0.29622495709231156,,,0.037200927734375,0.0372161865234375
5,6,1173749072,1000000000.0,0.29622495709231156,,,0.037872314453125,0.03786468505859375
5,7,331334161,1000000000.0,0.29622495709231156,,,0.03865814208984375,0.0386505126953125
5,8,1596387605,1000000000.0,0.29622495709231156,,,0.03847503662109375,0.03847503662109375
5,9,1466836457,1000000000.0,0.29622495709231156,,,0.0380401611328125,0.0380401611328125
7,0,1981113450,1000000000.0,0.22565444476219254,,,0.01268768310546875,0.0126800537109375
7,1,1599364551,1000000000.0,0.22565444476219254,,,0.0128021240234375,0.0128021240234375
7,2,787359109,1000000000.0,0.22565444476219254,,,0.0122222900390625,0.01221466064453125
7,3,2077711329,1000000000.0,0.22565444476219254,,,0.0126800537109375,0.01268768310546875
7,4,882294417,1000000000.0,0.22565444476219254,,,0.01276397705078125,0.0127716064453125
7,5,699704628,1000000000.0,0.22565444476219254,,,0.01275634765625,0.01275634765625
7,6,1944623249,1000000000.0,0.22565444476219254,,,0.012664794921875,0.012664794921875
7,7,795556160,1000000000.0,0.22565444476219254,,,0.01318359375,0.01318359375
7,8,163945743,1000000000.0,0.22565444476219254,,,0.01253509521484375,0.01255035400390625
