step,loss,loss_comm,loss_sens,BER,RMSE_tau_samples,RMSE_v,RMSE_a,g_theta,accept_rate,resid_improve
0,0.930508067424887,0.930508067424887,0.0,0.09393024444580078,0.0,0.0,0.0,0.7178121209144592,1.0,0.0
1,0.8310567659471537,0.8310567659471537,2.578893827376305e-07,0.11328697204589844,0.0004911362657712692,0.05023927241563797,0.00529202027246356,0.7408360242843628,1.0,0.0
2,0.7379821622132204,0.7379821622132204,9.86653958534589e-07,0.11426973342895508,0.0009816225523401334,0.10088571906089783,0.009892350062727928,0.7306728363037109,1.0,0.0
3,0.6511801458786171,0.6511801458786171,2.396465333731612e-06,0.09620952606201172,0.001561206540564783,0.15473756194114685,0.015354670584201813,0.7281781435012817,1.0,0.0
4,0.5722301162951782,0.5722301162951782,4.04787169827614e-06,0.11356449127197266,0.001952667086184412,0.20214658975601196,0.020601894706487656,0.709540843963623,1.0,0.0
5,0.49890958404983554,0.49890958404983554,6.229250629985472e-06,0.09602546691894531,0.0024679046241489477,0.2503044605255127,0.025163400918245316,0.7082226276397705,1.0,0.0
6,0.43262601989562965,0.43262601989562965,9.154703548119869e-06,0.10512399673461914,0.003064092491018855,0.296930730342865,0.030428050085902214,0.7043203711509705,1.0,0.0
7,0.3726652307214672,0.3726652307214672,1.2605613846972119e-05,0.11346578598022461,0.003606483601342747,0.3577921986579895,0.03465341031551361,0.7381445169448853,1.0,0.0
8,0.31751808446422164,0.31751808446422164,1.6137626516865566e-05,0.09779787063598633,0.0038958717979084567,0.40589025616645813,0.04093942791223526,0.7253715395927429,1.0,0.0
9,0.268579087449004,0.268579087449004,2.0557918105623685e-05,0.10245752334594727,0.004576967060562764,0.4541952311992645,0.04482832923531532,0.7314525246620178,1.0,0.0
10,0.22510945773603974,0.22510945773603974,2.5436991563765332e-05,0.11469459533691406,0.005128455169214896,0.4992709159851074,0.05008271336555481,0.703086256980896,1.0,0.0
11,0.1864833187913978,0.1864833187913978,3.0136183340800926e-05,0.10678815841674805,0.005463063269990631,0.5427064895629883,0.055776745080947876,0.7422155141830444,1.0,0.0
12,0.15285086234745993,0.15285086234745993,3.557865784387104e-05,0.1184844970703125,0.006052763000009842,0.6005674004554749,0.05833687633275986,0.7375373840332031,1.0,0.0
13,0.12323928325130828,0.12323928325130828,4.280542998458259e-05,0.10527944564819336,0.006477693273269913,0.6400046348571777,0.06745011359453201,0.7117258310317993,1.0,0.0
14,0.09809333296643973,0.09809333296643973,5.0018730689771473e-05,0.09183073043823242,0.006965563108946027,0.717322051525116,0.07076865434646606,0.7093654274940491,1.0,0.0
15,0.0773898022078759,0.0773898022078759,5.4463842388940975e-05,0.10927867889404297,0.007219057166288345,0.7643814086914062,0.07269719988107681,0.7109302282333374,1.0,0.0
16,0.059903721290953074,0.059903721290953074,6.499553273897618e-05,0.08767509460449219,0.008156829703863389,0.8150858283042908,0.07875038683414459,0.7161716818809509,1.0,0.0
17,0.04611194306673812,0.04611194306673812,7.152400212362409e-05,0.10968446731567383,0.008422313953031224,0.8687159419059753,0.0825650617480278,0.7236323356628418,1.0,0.0
18,0.03488227614924949,0.03488227614924949,7.887256651883945e-05,0.10446929931640625,0.00884564340178362,0.9003021717071533,0.0879305824637413,0.7203856110572815,1.0,0.0
19,0.025971688357063108,0.025971688357063108,9.051657980307937e-05,0.09303092956542969,0.009481179947049001,0.940130352973938,0.09657768905162811,0.7140564322471619,1.0,0.0
20,0.01918061197577839,0.01918061197577839,9.671056614024565e-05,0.10375595092773438,0.009756298416721543,0.9668917655944824,0.10072654485702515,0.7270510792732239,1.0,0.0
21,0.01390950738695895,0.01390950738695895,0.00011244812048971653,0.1006016731262207,0.010645246619964133,1.0428423881530762,0.10736435651779175,0.7083070874214172,1.0,0.0
22,0.009901276705813294,0.009901276705813294,0.00012166639498900622,0.09236621856689453,0.010916654949802429,1.1206257343292236,0.10965655744075775,0.7150741219520569,1.0,0.0
