snr_db,mc_idx,mc_seed,gamma_eff,chi,BER_Net,NMSE_Net,BER_LMMSE,BER_GAMP
-5,0,191664964,128.69092204253627,0.5711493541927207,,,0.31103515625,0.31103515625
-5,1,1662057958,126.73021314836191,0.5711515816997279,,,0.312103271484375,0.312103271484375
-5,2,1405681632,250.03402946291837,0.5710794053315098,,,0.31082916259765625,0.31082916259765625
-5,3,942484272,210.75968855732907,0.5710932412141303,,,0.3103179931640625,0.3103179931640625
-5,4,929893138,72.61441552005655,0.5712603539603657,,,0.3187713623046875,0.3187713623046875
-5,5,1843824993,166.3649090645875,0.5711167332059475,,,0.3115692138671875,0.3115692138671875
-5,6,184566854,329.65837975933397,0.5710614630419726,,,0.3129730224609375,0.3129730224609375
-5,7,1497586439,120.06803989333308,0.571159692688292,,,0.31276702880859375,0.31276702880859375
-5,8,432652533,38.361405448497756,0.5714866360292009,,,0.3175811767578125,0.3175811767578125
-5,9,202244314,398.42242961429804,0.5710517348515749,,,0.3085784912109375,0.3085784912109375
-3,0,1130604998,34.393498091695754,0.5397343543074549,,,0.272247314453125,0.272247314453125
-3,1,2095133046,112.79590591664196,0.5389073140378317,,,0.27809906005859375,0.27809906005859375
-3,2,1580016184,155.25050203603308,0.5388071523163286,,,0.274261474609375,0.274261474609375
-3,3,1634535063,53.23965160707358,0.5393149212417011,,,0.27230072021484375,0.27230072021484375
-3,4,1540770720,198.25978307670607,0.5387493294557192,,,0.27088165283203125,0.27088165283203125
-3,5,1688060241,155.47264903432114,0.5388067716859063,,,0.2762298583984375,0.2762298583984375
-3,6,1102145673,55.17215513988954,0.5392879864939983,,,0.27205657958984375,0.27205657958984375
-3,7,275121931,231.5327492704237,0.5387193074740387,,,0.27081298828125,0.27081298828125
-3,8,1803345591,108.86764545252873,0.5389205150701893,,,0.27118682861328125,0.27118682861328125
-3,9,967196436,42.83233639004987,0.5395013557961218,,,0.27954864501953125,0.27954864501953125
-1,0,1074497556,75.93519256856513,0.49517152571173734,,,0.2303314208984375,0.2303314208984375
-1,1,796282693,104.16093424187193,0.49486221156594273,,,0.2358856201171875,0.2358856201171875
-1,2,392022359,96.59766815961423,0.494927477854919,,,0.232696533203125,0.232696533203125
-1,3,1990212659,300.14076773898364,0.4943155682077214,,,0.22821807861328125,0.22821807861328125
-1,4,1678403331,131.494145175905,0.49468864669344115,,,0.22371673583984375,0.22371673583984375
-1,5,1382689816,157.60479376712382,0.49457884942446323,,,0.2260284423828125,0.2260284423828125
-1,6,864178267,115.63215527605766,0.494779430551085,,,0.2317352294921875,0.2317352294921875
-1,7,1766867110,191.80008319138597,0.49448012255167645,,,0.229156494140625,0.229156494140625
-1,8,1171300113,202.86601215617588,0.49445528008255846,,,0.226959228515625,0.226959228515625
-1,9,952224741,164.75064515951505,0.494554843613544,,,0.22817230224609375,0.22817230224609375
1,0,967354525,179.91358813805695,0.4377530459862443,,,0.18708038330078125,0.18708038330078125
1,1,487991439,125.65980377691754,0.43816245511303803,,,0.18402099609375,0.18402099609375
1,2,197860369,132.16917135568403,0.4380957051365692,,,0.193695068359375,0.193695068359375
1,3,1190961761,106.42414309009492,0.43840703898705846,,,0.19037628173828125,0.19037628173828125
1,4,1906728919,461.4535225683712,0.4371716141419919,,,0.189300537109375,0.189300537109375
1,5,137046513,189.703212065996,0.4377039984392508,,,0.18801116943359375,0.18801116943359375
1,6,1843166519,178.02862240518877,0.43776310627685433,,,0.1862030029296875,0.1862030029296875
1,7,1777324408,72.1877956442408,0.43916100200831604,,,0.18833160400390625,0.18833160400390625
1,8,594336918,132.92607023104574,0.4380883650953844,,,0.18764495849609375,0.18764495849609375
1,9,1356488968,115.42956347710962,0.4382824609933084,,,0.18309783935546875,0.18309783935546875
3,0,354826746,29.113050521689292,0.3792709700592081,,,0.14499664306640625,0.14499664306640625
3,1,1627981025,160.77503520405003,0.370957848734403,,,0.15169525146484375,0.15169525146484375
3,2,1504361615,187.55108315148397,0.3706866619023865,,,0.14571380615234375,0.14571380615234375
3,3,761338719,190.0885091713919,0.3706649020024814,,,0.1436920166015625,0.1436920166015625
3,4,145857092,188.61320643865778,0.37067748276949974,,,0.14459991455078125,0.14459991455078125
3,5,2084558134,74.02452191592855,0.3731631848422432,,,0.15337371826171875,0.15337371826171875
3,6,957106590,313.4194033105039,0.37003044905317894,,,0.14009857177734375,0.14009857177734375
3,7,1917963003,186.92932329695634,0.3706920834118964,,,0.14049530029296875,0.14049530029296875
3,8,1455819992,51.57015407535154,0.37491627385456067,,,0.14879608154296875,0.14879608154296875
3,9,1671565831,129.29081328807126,0.3714191335378384,,,0.14962005615234375,0.14962005615234375
5,0,1631871624,374.5946593562579,0.2975568218090124,,,0.10784912109375,0.10784912109375
5,1,417983442,226.77314521322938,0.2984193979614339,,,0.10774993896484375,0.10774993896484375
5,2,781482251,318.41838338824647,0.29779071242811106,,,0.10742950439453125,0.10742950439453125
