step,loss,loss_comm,loss_sens,BER,RMSE_tau_samples,RMSE_v,RMSE_a,g_theta,accept_rate,resid_improve
28,0.0006720028499805795,0.0006720028499805795,0.00020354751904960722,0.09676361083984375,0.014538261003047004,1.4195771217346191,0.14062774181365967,0.7249178886413574,1.0,0.0
29,0.00040782150173127463,0.00040782150173127463,0.00021554138220380992,0.16662025451660156,0.01441442343090571,1.4960365295410156,0.14664104580879211,0.704505443572998,1.0,0.0
30,0.00021322998875908874,0.00021322998875908874,0.0002303826331626624,0.2759108543395996,0.015092731751875643,1.5192515850067139,0.15249419212341309,0.7274820804595947,1.0,0.0
31,0.00017674411351105554,0.00017674411351105554,0.00024533135001547635,0.39727783203125,0.015107499669667068,1.5505945682525635,0.16350018978118896,0.7090360522270203,1.0,0.0
32,0.00017208860887199474,0.00017208860887199474,0.00024378282250836492,0.3475656509399414,0.015776652987492534,1.5458309650421143,0.1560404896736145,0.7050420045852661,1.0,0.0
33,0.00024335062442208753,0.00024335062442208753,0.00027130296803079545,0.3933100700378418,0.016603747456794826,1.6447597742080688,0.16361571848392487,0.7413117289543152,1.0,0.0
34,0.00032150551353708734,0.00032150551353708734,0.0002922575222328305,0.5541715621948242,0.017088301260126393,1.7054600715637207,0.17143602669239044,0.7419396638870239,1.0,0.0
35,0.00040921717309348705,0.00040921717309348705,0.00030214019352570176,0.6583938598632812,0.01742594024807531,1.7504618167877197,0.17214687168598175,0.7351638674736023,1.0,0.0
36,0.0005274489994437192,0.0005274489994437192,0.00032137788366526365,0.7177801132202148,0.017787647440051235,1.7648844718933105,0.18337160348892212,0.7154992818832397,1.0,0.0
37,0.0005788434664792092,0.0005788434664792092,0.00033759133657440543,0.7583107948303223,0.018683557305443355,1.8110910654067993,0.18321940302848816,0.7070151567459106,1.0,0.0
38,0.000657403176372433,0.000657403176372433,0.0003630532301031053,0.759549617767334,0.019096232841547822,1.9048291444778442,0.19017258286476135,0.7312970757484436,1.0,0.0
39,0.0007674563126593207,0.0007674563126593207,0.00037505861837416887,0.8027772903442383,0.01944766830214162,1.9436008930206299,0.19214724004268646,0.7206721305847168,1.0,0.0
40,0.0008127911411709509,0.0008127911411709509,0.00038918061181902885,0.7985410690307617,0.019863199626768413,1.9622446298599243,0.19696564972400665,0.7067692875862122,1.0,0.0
41,0.0008239981672681924,0.0008239981672681924,0.00041296935523860157,0.7884483337402344,0.020169285078891486,2.0407166481018066,0.2038763165473938,0.721647322177887,1.0,0.0
42,0.0008195287264110892,0.0008195287264110892,0.00044493339373730123,0.7736024856567383,0.021192529068431165,2.0984346866607666,0.21102939546108246,0.7029635906219482,1.0,0.0
43,0.0008427317919422021,0.0008427317919422021,0.0004798381996806711,0.8020930290222168,0.021483283901835293,2.2627875804901123,0.21586157381534576,0.7387797832489014,1.0,0.0
44,0.0008147241970621545,0.0008147241970621545,0.0004953821771778166,0.8074469566345215,0.022261697693592986,2.2453806400299072,0.22054247558116913,0.7142251133918762,1.0,0.0
45,0.0007599536774675997,0.0007599536774675997,0.0005149863427504897,0.8019099235534668,0.022738282610956784,2.304426670074463,0.2229105830192566,0.7300790548324585,1.0,0.0
46,0.0006953165528282084,0.0006953165528282084,0.000526810996234417,0.8249654769897461,0.02276291351591131,2.2990903854370117,0.23101972043514252,0.7156105041503906,1.0,0.0
47,0.000651028898532253,0.000651028898532253,0.0005529519403353333,0.8785476684570312,0.02350621216770654,2.3269999027252197,0.23765961825847626,0.7225013971328735,1.0,0.0
48,0.0005888541557669141,0.0005888541557669141,0.0005686626536771655,0.8156957626342773,0.024707100514803626,2.4078800678253174,0.22710315883159637,0.7231937646865845,1.0,0.0
49,0.0005340461060581619,0.0005340461060581619,0.0006008291966281831,0.7995386123657227,0.025066398609552287,2.371431350708008,0.24734480679035187,0.7106102705001831,1.0,0.0
50,0.0004995662989323141,0.0004995662989323141,0.0006198959890753031,0.8013043403625488,0.02460960471864504,2.4940452575683594,0.2514018714427948,0.7419816255569458,1.0,0.0
51,0.0004843219776899065,0.0004843219776899065,0.0006734924390912056,0.8006696701049805,0.025207344891975403,2.6254360675811768,0.2637755870819092,0.7345069050788879,1.0,0.0
