step,loss,loss_comm,loss_sens,BER,RMSE_tau_samples,RMSE_v,RMSE_a,g_theta,accept_rate,resid_improve
0,0.9332854305039648,0.9331796190736343,0.00017605895118322223,0.1833500862121582,0.023096722017584836,0.0,0.0,0.720788836479187,1.0,6.37295084914516e-05
1,0.9099826596014436,0.9041694533173695,0.011598937213420868,0.09634923934936523,0.020213049983786036,0.25118550658226013,0.026460235938429832,0.7198847532272339,1.0,5.390107000826715e-05
2,0.8788212965352864,0.8783621537965951,0.0008454290218651295,0.12230443954467773,0.0329857625588903,0.5044439435005188,0.04946180805563927,0.7061377763748169,1.0,7.419683179133761e-05
3,0.9181280791563029,0.8544019335067776,0.12743358314037323,0.10442018508911133,0.016005204973856824,0.773618221282959,0.07677331566810608,0.7354610562324524,1.0,3.996813353588769e-05
4,0.8683830797669754,0.8304815279095448,0.07578306645154953,0.12115335464477539,0.016494275563438965,1.010709524154663,0.10300949960947037,0.7330024838447571,1.0,3.73024228772868e-05
5,0.8093556667537749,0.8051982115468244,0.008263937197625637,0.11193561553955078,0.026838715711657857,1.251569390296936,0.1258169710636139,0.7112640142440796,1.0,6.114431684293666e-05
6,0.8151539585319374,0.7809468041937184,0.06837651133537292,0.08439350128173828,0.022308812783200516,1.4846231937408447,0.15214021503925323,0.7226064801216125,1.0,5.609145564426742e-05
7,0.790526691254579,0.7577217806080603,0.06555110216140747,0.09498786926269531,0.02786179923927601,1.788978099822998,0.17326705157756805,0.7057957649230957,1.0,7.560715570146313e-05
8,0.7584840361290843,0.735832559816481,0.04526233673095703,0.10806131362915039,0.021630937058897404,2.029433488845825,0.20469719171524048,0.7154990434646606,1.0,6.230291675418468e-05
9,0.8181408943177053,0.7137763355598259,0.20868796110153198,0.11278724670410156,0.02053048703265503,2.2709622383117676,0.22414162755012512,0.7151699066162109,1.0,6.86747782645159e-05
10,0.8103066795414433,0.6916172973363954,0.23734265565872192,0.10356664657592773,0.018242623123915225,2.496363878250122,0.25041359663009644,0.7209897637367249,1.0,4.913882402350038e-05
11,1.2810446515390144,0.670614361451408,1.2208266258239746,0.11295747756958008,0.015257617218267239,2.7135512828826904,0.2788837254047394,0.742925763130188,1.0,4.645736379338458e-05
12,0.9242010971324301,0.6480817036612674,0.5521756410598755,0.0885920524597168,0.024958759017867926,3.002821683883667,0.2916843891143799,0.7185616493225098,1.0,7.836759036691568e-05
13,0.919184889494518,0.6276389470124015,0.5830335021018982,0.09105634689331055,0.022345712519938887,3.200026750564575,0.3372505307197571,0.7206176519393921,1.0,7.796271630283654e-05
14,0.6156617829350117,0.6074629032358181,0.016299240291118622,0.11849260330200195,0.03284967133379557,3.5866124629974365,0.3538433313369751,0.6987585425376892,1.0,9.445613489276225e-05
15,1.7422715873433838,0.5879747808701715,2.3085389137268066,0.1002969741821289,0.019032249734540763,3.8218982219696045,0.36348605155944824,0.7272005677223206,1.0,6.238715845968031e-05
16,1.3825333604996,0.568001190805752,1.6289918422698975,0.08858108520507812,0.021601513980340492,4.075436592102051,0.39375194907188416,0.7327943444252014,1.0,7.981617674315194e-05
17,0.7065833624049269,0.5505222422973752,0.3120666444301605,0.1327223777770996,0.014257042811952059,4.343594551086426,0.4128253757953644,0.7398622035980225,1.0,4.9232059375223324e-05
18,0.5919341930642517,0.5319337063013776,0.11993664503097534,0.14083528518676758,0.017964810411844057,4.501499652862549,0.4396529495716095,0.721826434135437,1.0,5.3309114687163386e-05
19,0.6364246928158646,0.5116587077416734,0.2494276762008667,0.09098339080810547,0.026852237881153096,4.700672626495361,0.48288846015930176,0.7081179618835449,1.0,9.910121545706193e-05
20,0.9590993378184818,0.4941710413219722,0.9297701716423035,0.09538698196411133,0.021907172256807605,4.834439277648926,0.5036327242851257,0.7249406576156616,1.0,9.219703840524964e-05
21,0.8282764730705625,0.47655594371679255,0.7033481597900391,0.09544944763183594,0.02241806349931319,5.2142486572265625,0.5368218421936035,0.7186218500137329,1.0,8.399700949419601e-05
22,0.4964276753127621,0.45916686334766443,0.07439205050468445,0.10049772262573242,0.02980104227626179,5.603135108947754,0.54828280210495,0.700836181640625,1.0,0.00013393818396786018
