snr_db,init_error,method,mc_idx,seed,ber,rmse_tau_init,rmse_tau_final,improvement,success_rate
-5,0.0,proposed,0,950,0.31854045391082764,0.0,0.07717930667216998,0.0,0.80078125
-5,0.0,adjoint_slice,0,950,0.3177592158317566,0.0,0.0,0.0,1.0
-5,0.0,proposed,1,1950,0.3188171684741974,0.0,0.0884494982701286,0.0,0.7421875
-5,0.0,adjoint_slice,1,1950,0.31694743037223816,0.0,0.0,0.0,1.0
-5,0.0,proposed,2,2950,0.32081708312034607,0.0,0.0760197425803837,0.0,0.80859375
-5,0.0,adjoint_slice,2,2950,0.3195495903491974,0.0,0.0,0.0,1.0
-5,0.0,proposed,3,3950,0.31707969307899475,0.0,0.08136330555598288,0.0,0.80078125
-5,0.0,adjoint_slice,3,3950,0.3155314326286316,0.0,0.0,0.0,1.0
-5,0.0,proposed,4,4950,0.31929728388786316,0.0,0.0837498249341086,0.0,0.75390625
-5,0.0,adjoint_slice,4,4950,0.31758424639701843,0.0,0.0,0.0,1.0
-5,0.0,proposed,5,5950,0.3174804747104645,0.0,0.08137878825761251,0.0,0.75
-5,0.0,adjoint_slice,5,5950,0.31612345576286316,0.0,0.0,0.0,1.0
-5,0.0,proposed,6,6950,0.31724652647972107,0.0,0.08238742856960936,0.0,0.765625
-5,0.0,adjoint_slice,6,6950,0.3157654106616974,0.0,0.0,0.0,1.0
-5,0.0,proposed,7,7950,0.31961876153945923,0.0,0.07281724829890218,0.0,0.83203125
-5,0.0,adjoint_slice,7,7950,0.31893107295036316,0.0,0.0,0.0,1.0
-5,0.0,proposed,8,8950,0.31778770685195923,0.0,0.08720877818805278,0.0,0.75390625
-5,0.0,adjoint_slice,8,8950,0.3165547847747803,0.0,0.0,0.0,1.0
-5,0.0,proposed,9,9950,0.3189839720726013,0.0,0.0822684028644791,0.0,0.78515625
-5,0.0,adjoint_slice,9,9950,0.3173889219760895,0.0,0.0,0.0,1.0
-5,0.1,proposed,0,960,0.3190673887729645,0.09803950061148903,0.0835433106717009,1.173517062059007,0.7578125
-5,0.1,adjoint_slice,0,960,0.3196248412132263,0.09803950061148903,0.09803950061148903,0.999999998980003,0.6875
-5,0.1,proposed,1,1960,0.31861573457717896,0.10322942977819952,0.08959136790480164,1.152225176120393,0.76171875
-5,0.1,adjoint_slice,1,1960,0.3186950981616974,0.10322942977819952,0.10322942977819952,0.999999999031284,0.67578125
-5,0.1,proposed,2,2960,0.3190205991268158,0.09819645579379671,0.08353860719524252,1.175461968700895,0.7421875
-5,0.1,adjoint_slice,2,2960,0.3190918266773224,0.09819645579379671,0.09819645579379671,0.9999999989816334,0.69921875
-5,0.1,proposed,3,3960,0.3177693784236908,0.09703525512192633,0.0920438645510901,1.0542283887118067,0.7265625
-5,0.1,adjoint_slice,3,3960,0.3182413876056671,0.09703525512192633,0.09703525512192633,0.9999999989694468,0.71875
-5,0.1,proposed,4,4960,0.31562501192092896,0.10168388129061896,0.08914716422853267,1.1406294530680183,0.71875
-5,0.1,adjoint_slice,4,4960,0.3159993588924408,0.10168388129061896,0.10168388129061896,0.99999999901656,0.6875
-5,0.1,proposed,5,5960,0.3189453184604645,0.10480867708530046,0.08888625345802573,1.1791325755098954,0.74609375
-5,0.1,adjoint_slice,5,5960,0.31950685381889343,0.10480867708530046,0.10480867708530046,0.9999999990458805,0.63671875
-5,0.1,proposed,6,6960,0.3189941644668579,0.098841581759642,0.08641471500371922,1.1438049832254547,0.75390625
-5,0.1,adjoint_slice,6,6960,0.3196167051792145,0.098841581759642,0.098841581759642,0.9999999989882801,0.6875
-5,0.1,proposed,7,7960,0.3196411430835724,0.10021012688056367,0.08257799611085336,1.2135209314680961,0.76953125
-5,0.1,adjoint_slice,7,7960,0.31973472237586975,0.10021012688056367,0.10021012688056367,0.9999999990020969,0.67578125
-5,0.1,proposed,8,8960,0.3173462152481079,0.09899092867845018,0.09131732842640204,1.0840322453128874,0.69140625
-5,0.1,adjoint_slice,8,8960,0.31785687804222107,0.09899092867845018,0.09899092867845018,0.9999999989898065,0.68359375
-5,0.1,proposed,9,9960,0.3206014037132263,0.10178129718578952,0.08783724178637943,1.1587487835449937,0.75390625
-5,0.1,adjoint_slice,9,9960,0.3218038082122803,0.10178129718578952,0.10178129718578952,0.9999999990175013,0.6875
-5,0.2,proposed,0,970,0.3194030821323395,0.20303121173913147,0.11577835718696514,1.753619730809479,0.62890625
-5,0.2,adjoint_slice,0,970,0.3270528316497803,0.20303121173913147,0.20303121173913147,0.9999999995074649,0.390625
-5,0.2,proposed,1,1970,0.31874796748161316,0.21694127470695068,0.11129059676026415,1.9493225917310961,0.63671875
-5,0.2,adjoint_slice,1,1970,0.3285115659236908,0.21694127470695068,0.21694127470695068,0.9999999995390457,0.3515625
-5,0.2,proposed,2,2970,0.3258870542049408,0.19821564473963751,0.1159209119013099,1.7099213706789824,0.64453125
-5,0.2,adjoint_slice,2,2970,0.33198243379592896,0.19821564473963751,0.19821564473963751,0.9999999994954989,0.4296875
-5,0.2,proposed,3,3970,0.3255208432674408,0.20615583577409718,0.10971880672098239,1.8789471171561483,0.65625
-5,0.2,adjoint_slice,3,3970,0.3332173824310303,0.20615583577409718,0.20615583577409718,0.99999999951493,0.38671875
-5,0.2,proposed,4,4970,0.3215698301792145,0.19115687036036738,0.10691853768384627,1.787873967625923,0.68359375
-5,0.2,adjoint_slice,4,4970,0.3290303647518158,0.19115687036036738,0.19115687036036738,0.9999999994768694,0.390625
