pn_linewidth,method,mc_idx,seed,ber,rmse_tau_init,rmse_tau_final,improvement,success_rate
0.0,adjoint_slice,0,0,0.1585489958524704,0.29852958783551614,0.29852958783551614,0.9999999996650248,0.30078125
0.0,proposed_no_update,0,0,0.15862223505973816,0.29852958783551614,0.29852958783551614,0.9999999996650248,0.30078125
0.0,proposed,0,0,0.1039123609662056,0.29852958783551614,0.08657927429670724,3.4480490846764336,0.98828125
0.0,oracle_sync,0,0,0.10228068381547928,0.29852958783551614,0.0,2985295878.355161,1.0
0.0,adjoint_slice,1,1000,0.1576436460018158,0.2983291466607543,0.2983291466607543,0.9999999996647997,0.234375
0.0,proposed_no_update,1,1000,0.1577962338924408,0.2983291466607543,0.2983291466607543,0.9999999996647997,0.234375
0.0,proposed,1,1000,0.10207520425319672,0.2983291466607543,0.03191668288268294,9.347122532207338,0.984375
0.0,oracle_sync,1,1000,0.10190023481845856,0.2983291466607543,0.0,2983291466.6075425,1.0
0.0,adjoint_slice,2,2000,0.1590779721736908,0.30937910677802666,0.30937910677802666,0.9999999996767719,0.2578125
0.0,proposed_no_update,2,2000,0.1588948667049408,0.30937910677802666,0.30937910677802666,0.9999999996767719,0.2578125
0.0,proposed,2,2000,0.10122071206569672,0.30937910677802666,0.08043884894550397,3.8461403967007537,0.97265625
0.0,oracle_sync,2,2000,0.10003866255283356,0.30937910677802666,0.0,3093791067.7802663,1.0
0.0,adjoint_slice,3,3000,0.15035603940486908,0.2891106370728558,0.2891106370728558,0.9999999996541116,0.2734375
0.0,proposed_no_update,3,3000,0.15026652812957764,0.2891106370728558,0.2891106370728558,0.9999999996541116,0.2734375
0.0,proposed,3,3000,0.09976807236671448,0.2891106370728558,0.07838438118105343,3.6883704680429465,0.98046875
0.0,oracle_sync,3,3000,0.0961202010512352,0.2891106370728558,0.0,2891106370.7285576,1.0
0.0,adjoint_slice,4,4000,0.15202027559280396,0.28605138623473214,0.28605138623473214,0.9999999996504124,0.2109375
0.0,proposed_no_update,4,4000,0.1519877165555954,0.28605138623473214,0.28605138623473214,0.9999999996504124,0.2109375
0.0,proposed,4,4000,0.09878947585821152,0.28605138623473214,0.031830793093523366,8.9866245084001,0.984375
0.0,oracle_sync,4,4000,0.09847208857536316,0.28605138623473214,0.0,2860513862.3473215,1.0
0.0,adjoint_slice,5,5000,0.16571453213691711,0.3136009387427051,0.3136009387427051,0.9999999996811234,0.265625
0.0,proposed_no_update,5,5000,0.1655680388212204,0.3136009387427051,0.3136009387427051,0.9999999996811234,0.265625
0.0,proposed,5,5000,0.0999959334731102,0.3136009387427051,0.030866172905863763,10.16002011921365,0.984375
0.0,oracle_sync,5,5000,0.09935913234949112,0.3136009387427051,0.0,3136009387.427051,1.0
0.0,adjoint_slice,6,6000,0.15316569805145264,0.29324891167029393,0.29324891167029393,0.9999999996589928,0.28515625
0.0,proposed_no_update,6,6000,0.15337321162223816,0.29324891167029393,0.29324891167029393,0.9999999996589928,0.28515625
0.0,proposed,6,6000,0.0960896834731102,0.29324891167029393,0.026667318150251768,10.996565493327225,0.98828125
0.0,oracle_sync,6,6000,0.09572754055261612,0.29324891167029393,0.0,2932489116.702939,1.0
0.0,adjoint_slice,7,7000,0.15944825112819672,0.3044155223475018,0.3044155223475018,0.9999999996715017,0.2109375
0.0,proposed_no_update,7,7000,0.15940959751605988,0.3044155223475018,0.3044155223475018,0.9999999996715017,0.2109375
0.0,proposed,7,7000,0.10110270977020264,0.3044155223475018,0.10128526709760555,3.0055261813506715,0.984375
0.0,oracle_sync,7,7000,0.09772136062383652,0.3044155223475018,0.0,3044155223.475018,1.0
0.0,adjoint_slice,8,8000,0.15784913301467896,0.305659828099226,0.305659828099226,0.9999999996728389,0.265625
0.0,proposed_no_update,8,8000,0.15782268345355988,0.305659828099226,0.305659828099226,0.9999999996728389,0.265625
0.0,proposed,8,8000,0.0977071151137352,0.305659828099226,0.038646180738780324,7.909185887587246,0.98828125
0.0,oracle_sync,8,8000,0.09636027365922928,0.305659828099226,0.0,3056598280.9922595,1.0
0.0,adjoint_slice,9,9000,0.16350504755973816,0.3091101624682385,0.3091101624682385,0.9999999996764907,0.25390625
0.0,proposed_no_update,9,9000,0.16330364346504211,0.3091101624682385,0.3091101624682385,0.9999999996764907,0.25390625
0.0,proposed,9,9000,0.10556641221046448,0.3091101624682385,0.08305966235775641,3.721543687050858,0.98828125
0.0,oracle_sync,9,9000,0.10348714888095856,0.3091101624682385,0.0,3091101624.682385,1.0
50000.0,adjoint_slice,0,50,0.16858725249767303,0.2950329554428455,0.2950329554428455,0.9999999996610548,0.25390625
50000.0,proposed_no_update,0,50,0.16919149458408356,0.2950329554428455,0.2950329554428455,0.9999999996610548,0.25390625
50000.0,proposed,0,50,0.11275024712085724,0.2950329554428455,0.024456254192442687,12.063701657453516,0.984375
50000.0,oracle_sync,0,50,0.11252645403146744,0.2950329554428455,0.0,2950329554.4284554,1.0
50000.0,adjoint_slice,1,1050,0.17043253779411316,0.28715443559830306,0.28715443559830306,0.9999999996517553,0.2578125
50000.0,proposed_no_update,1,1050,0.1691080778837204,0.28715443559830306,0.28715443559830306,0.9999999996517553,0.2578125
50000.0,proposed,1,1050,0.11804810166358948,0.28715443559830306,0.022537169426769244,12.741370883208123,0.99609375
50000.0,oracle_sync,1,1050,0.1177469938993454,0.28715443559830306,0.0,2871544355.9830303,1.0
50000.0,adjoint_slice,2,2050,0.1546224057674408,0.303643402680808,0.303643402680808,0.9999999996706663,0.2734375
