init_error,snr_db,method,mc_idx,seed,ber,rmse_tau_init,rmse_tau_final,improvement,success_rate
0.0,0,proposed_no_update,5,6000,0.21031291782855988,0.0,0.0,0.0,1.0
0.0,0,proposed,5,6000,0.21131186187267303,0.0,0.052549023975359856,0.0,0.94140625
0.0,0,oracle_sync,5,6000,0.21031291782855988,0.0,0.0,0.0,1.0
0.0,0,adjoint_slice,6,7000,0.2118835598230362,0.0,0.0,0.0,1.0
0.0,0,proposed_no_update,6,7000,0.21116945147514343,0.0,0.0,0.0,1.0
0.0,0,proposed,6,7000,0.21248577535152435,0.0,0.057504389474618736,0.0,0.9140625
0.0,0,oracle_sync,6,7000,0.21116945147514343,0.0,0.0,0.0,1.0
0.0,0,adjoint_slice,7,8000,0.2071228176355362,0.0,0.0,0.0,1.0
0.0,0,proposed_no_update,7,8000,0.20709839463233948,0.0,0.0,0.0,1.0
0.0,0,proposed,7,8000,0.20826619863510132,0.0,0.054586093185069774,0.0,0.9375
0.0,0,oracle_sync,7,8000,0.20709839463233948,0.0,0.0,0.0,1.0
0.0,0,adjoint_slice,8,9000,0.2143554836511612,0.0,0.0,0.0,1.0
0.0,0,proposed_no_update,8,9000,0.21523235738277435,0.0,0.0,0.0,1.0
0.0,0,proposed,8,9000,0.21566367149353027,0.0,0.055003147092955784,0.0,0.9296875
0.0,0,oracle_sync,8,9000,0.21523235738277435,0.0,0.0,0.0,1.0
0.0,0,adjoint_slice,9,10000,0.2182515561580658,0.0,0.0,0.0,1.0
0.0,0,proposed_no_update,9,10000,0.21891683340072632,0.0,0.0,0.0,1.0
0.0,0,proposed,9,10000,0.2199402004480362,0.0,0.055844664166960864,0.0,0.953125
0.0,0,oracle_sync,9,10000,0.21891683340072632,0.0,0.0,0.0,1.0
0.0,5,adjoint_slice,0,1050,0.1574300229549408,0.0,0.0,0.0,1.0
0.0,5,proposed_no_update,0,1050,0.15552368760108948,0.0,0.0,0.0,1.0
0.0,5,proposed,0,1050,0.15591838955879211,0.0,0.032320786675932425,0.0,0.99609375
0.0,5,oracle_sync,0,1050,0.15552368760108948,0.0,0.0,0.0,1.0
0.0,5,adjoint_slice,1,2050,0.11832886189222336,0.0,0.0,0.0,1.0
0.0,5,proposed_no_update,1,2050,0.11894531548023224,0.0,0.0,0.0,1.0
0.0,5,proposed,1,2050,0.11976725608110428,0.0,0.03705744289118805,0.0,0.9765625
0.0,5,oracle_sync,1,2050,0.11894531548023224,0.0,0.0,0.0,1.0
0.0,5,adjoint_slice,2,3050,0.1194152906537056,0.0,0.0,0.0,1.0
0.0,5,proposed_no_update,2,3050,0.11920980364084244,0.0,0.0,0.0,1.0
0.0,5,proposed,2,3050,0.11983032524585724,0.0,0.033714377196702165,0.0,0.99609375
0.0,5,oracle_sync,2,3050,0.11920980364084244,0.0,0.0,0.0,1.0
0.0,5,adjoint_slice,3,4050,0.14778849482536316,0.0,0.0,0.0,1.0
0.0,5,proposed_no_update,3,4050,0.1496277004480362,0.0,0.0,0.0,1.0
0.0,5,proposed,3,4050,0.15043742954730988,0.0,0.03478021480511566,0.0,0.98828125
0.0,5,oracle_sync,3,4050,0.1496277004480362,0.0,0.0,0.0,1.0
0.0,5,adjoint_slice,4,5050,0.1185913160443306,0.0,0.0,0.0,1.0
0.0,5,proposed_no_update,4,5050,0.11846517771482468,0.0,0.0,0.0,1.0
0.0,5,proposed,4,5050,0.11895345896482468,0.0,0.0340089328144411,0.0,0.98828125
0.0,5,oracle_sync,4,5050,0.11846517771482468,0.0,0.0,0.0,1.0
0.0,5,adjoint_slice,5,6050,0.13043212890625,0.0,0.0,0.0,1.0
0.0,5,proposed_no_update,5,6050,0.12961630523204803,0.0,0.0,0.0,1.0
0.0,5,proposed,5,6050,0.12992554903030396,0.0,0.035156433159468425,0.0,0.9921875
0.0,5,oracle_sync,5,6050,0.12961630523204803,0.0,0.0,0.0,1.0
0.0,5,adjoint_slice,6,7050,0.11853638291358948,0.0,0.0,0.0,1.0
0.0,5,proposed_no_update,6,7050,0.1184488981962204,0.0,0.0,0.0,1.0
0.0,5,proposed,6,7050,0.11916911602020264,0.0,0.032467986098973715,0.0,0.9921875
0.0,5,oracle_sync,6,7050,0.1184488981962204,0.0,0.0,0.0,1.0
0.0,5,adjoint_slice,7,8050,0.13649089634418488,0.0,0.0,0.0,1.0
0.0,5,proposed_no_update,7,8050,0.13502605259418488,0.0,0.0,0.0,1.0
0.0,5,proposed,7,8050,0.13579101860523224,0.0,0.035038057477972714,0.0,0.99609375
0.0,5,oracle_sync,7,8050,0.13502605259418488,0.0,0.0,0.0,1.0
0.0,5,adjoint_slice,8,9050,0.16625162959098816,0.0,0.0,0.0,1.0
0.0,5,proposed_no_update,8,9050,0.1684061735868454,0.0,0.0,0.0,1.0
0.0,5,proposed,8,9050,0.16867269575595856,0.0,0.03383041264717556,0.0,0.99609375
0.0,5,oracle_sync,8,9050,0.1684061735868454,0.0,0.0,0.0,1.0
0.0,5,adjoint_slice,9,10050,0.15651652216911316,0.0,0.0,0.0,1.0
0.0,5,proposed_no_update,9,10050,0.15436401963233948,0.0,0.0,0.0,1.0
0.0,5,proposed,9,10050,0.15503540635108948,0.0,0.03598661706846506,0.0,0.98046875
0.0,5,oracle_sync,9,10050,0.15436401963233948,0.0,0.0,0.0,1.0
0.0,10,adjoint_slice,0,1100,0.09977417439222336,0.0,0.0,0.0,1.0
0.0,10,proposed_no_update,0,1100,0.09890341013669968,0.0,0.0,0.0,1.0
0.0,10,proposed,0,1100,0.09892985224723816,0.0,0.021918106247782374,0.0,0.99609375
0.0,10,oracle_sync,0,1100,0.09890341013669968,0.0,0.0,0.0,1.0
0.0,10,adjoint_slice,1,2100,0.09574585407972336,0.0,0.0,0.0,1.0
0.0,10,proposed_no_update,1,2100,0.09619548171758652,0.0,0.0,0.0,1.0
0.0,10,proposed,1,2100,0.09666748344898224,0.0,0.023785162962940164,0.0,0.99609375
0.0,10,oracle_sync,1,2100,0.09619548171758652,0.0,0.0,0.0,1.0
0.0,10,adjoint_slice,2,3100,0.0954386442899704,0.0,0.0,0.0,1.0
0.0,10,proposed_no_update,2,3100,0.0959065780043602,0.0,0.0,0.0,1.0
0.0,10,proposed,2,3100,0.09597372263669968,0.0,0.024080952299838056,0.0,0.9921875
0.0,10,oracle_sync,2,3100,0.0959065780043602,0.0,0.0,0.0,1.0
0.0,10,adjoint_slice,3,4100,0.10654297471046448,0.0,0.0,0.0,1.0
0.0,10,proposed_no_update,3,4100,0.10831096023321152,0.0,0.0,0.0,1.0
0.0,10,proposed,3,4100,0.10840454697608948,0.0,0.025014515796347035,0.0,0.98828125
0.0,10,oracle_sync,3,4100,0.10831096023321152,0.0,0.0,0.0,1.0
0.0,10,adjoint_slice,4,5100,0.09224853664636612,0.0,0.0,0.0,1.0
0.0,10,proposed_no_update,4,5100,0.09280803054571152,0.0,0.0,0.0,1.0
0.0,10,proposed,4,5100,0.09315389394760132,0.0,0.0269838320568427,0.0,0.99609375
0.0,10,oracle_sync,4,5100,0.09280803054571152,0.0,0.0,0.0,1.0
