snr_db,method,mc_idx,seed,ber,rmse_tau_init,rmse_tau_final,improvement,success_rate
-5,random_init,0,950,0.45746666193008423,0.29559780583136175,1.9362483222226246,0.15266523535409846,0.04296875
-5,proposed_no_update,0,950,0.3429199457168579,0.29559780583136175,0.29559780583136175,0.9999999996617025,0.2265625
-5,proposed_tau_slice,0,950,0.3228291869163513,0.29559780583136175,0.14605539714518712,2.023874580513678,0.5546875
-5,proposed,0,950,0.3224792778491974,0.29559780583136175,0.14605539714518712,2.023874580513678,0.5546875
-5,oracle_sync,0,950,0.3173258602619171,0.29559780583136175,0.0,2955978058.313617,1.0
-5,random_init,1,1950,0.45250245928764343,0.3239449136748951,1.985046960217045,0.16319256931994983,0.03125
-5,proposed_no_update,1,1950,0.3469340205192566,0.3239449136748951,0.3239449136748951,0.9999999996913055,0.24609375
-5,proposed_tau_slice,1,1950,0.32460737228393555,0.3239449136748951,0.17986951781396773,1.8009995102663205,0.46484375
-5,proposed,1,1950,0.3249959349632263,0.3239449136748951,0.17986951781396773,1.8009995102663205,0.46484375
-5,oracle_sync,1,1950,0.3172953426837921,0.3239449136748951,0.0,3239449136.748951,1.0
-5,random_init,2,2950,0.46258345246315,0.2886314961608856,2.027697352044816,0.14234446568447848,0.01953125
-5,proposed_no_update,2,2950,0.3430847227573395,0.2886314961608856,0.2886314961608856,0.9999999996535375,0.30078125
-5,proposed_tau_slice,2,2950,0.32366129755973816,0.2886314961608856,0.13570456373604806,2.1269107537871514,0.5703125
-5,proposed,2,2950,0.32400310039520264,0.2886314961608856,0.13570456373604806,2.1269107537871514,0.5703125
-5,oracle_sync,2,2950,0.3197571039199829,0.2886314961608856,0.0,2886314961.608856,1.0
-5,random_init,3,3950,0.4570109248161316,0.29378812361129686,2.0010107379084645,0.1468198635973807,0.0625
-5,proposed_no_update,3,3950,0.33914390206336975,0.29378812361129686,0.29378812361129686,0.9999999996596186,0.24609375
-5,proposed_tau_slice,3,3950,0.3201049864292145,0.29378812361129686,0.1399798099591315,2.0987892717327754,0.5625
-5,proposed,3,3950,0.3199666440486908,0.29378812361129686,0.1399798099591315,2.0987892717327754,0.5625
-5,oracle_sync,3,3950,0.31559449434280396,0.29378812361129686,0.0,2937881236.1129684,1.0
-5,random_init,4,4950,0.4516703486442566,0.27708833280344936,1.8800107029753033,0.1473865719754632,0.0625
-5,proposed_no_update,4,4950,0.3382365107536316,0.27708833280344936,0.27708833280344936,0.9999999996391042,0.22265625
-5,proposed_tau_slice,4,4950,0.32406821846961975,0.27708833280344936,0.16934859006152722,1.6362010013733113,0.55078125
-5,proposed,4,4950,0.32420045137405396,0.27708833280344936,0.16934859006152722,1.6362010013733113,0.55078125
-5,oracle_sync,4,4950,0.31798097491264343,0.27708833280344936,0.0,2770883328.0344934,1.0
-5,random_init,5,5950,0.4620158076286316,0.2746820026005391,2.044290070298925,0.13436547316738537,0.04296875
-5,proposed_no_update,5,5950,0.33754274249076843,0.2746820026005391,0.2746820026005391,0.9999999996359427,0.26953125
-5,proposed_tau_slice,5,5950,0.3198547661304474,0.2746820026005391,0.12831437743396337,2.140695437873545,0.65625
-5,proposed,5,5950,0.3200622797012329,0.2746820026005391,0.12831437743396337,2.140695437873545,0.65625
-5,oracle_sync,5,5950,0.31628623604774475,0.2746820026005391,0.0,2746820026.005391,1.0
-5,random_init,6,6950,0.4568278193473816,0.3018432601129016,1.9266818638675212,0.15666481620963132,0.03515625
-5,proposed_no_update,6,6950,0.34203898906707764,0.3018432601129016,0.3018432601129016,0.9999999996687022,0.23828125
-5,proposed_tau_slice,6,6950,0.3215271234512329,0.3018432601129016,0.15299583875010628,1.9728854221233083,0.48046875
-5,proposed,6,6950,0.3214966058731079,0.3018432601129016,0.15299583875010628,1.9728854221233083,0.48046875
-5,oracle_sync,6,6950,0.3158833980560303,0.3018432601129016,0.0,3018432601.1290154,1.0
-5,random_init,7,7950,0.46488648653030396,0.2849730155457995,1.9830523992192137,0.14370422871510172,0.03125
-5,proposed_no_update,7,7950,0.3404296934604645,0.2849730155457995,0.2849730155457995,0.9999999996490896,0.30078125
-5,proposed_tau_slice,7,7950,0.3239990472793579,0.2849730155457995,0.14457033720474494,1.9711721011281504,0.60546875
-5,proposed,7,7950,0.32362470030784607,0.2849730155457995,0.14457033720474494,1.9711721011281504,0.60546875
-5,oracle_sync,7,7950,0.31845298409461975,0.2849730155457995,0.0,2849730155.457995,1.0
-5,random_init,8,8950,0.46968385577201843,0.31630668074597085,2.089421709314047,0.15138479672190028,0.01953125
-5,proposed_no_update,8,8950,0.34511110186576843,0.31630668074597085,0.31630668074597085,0.9999999996838511,0.24609375
-5,proposed_tau_slice,8,8950,0.32351890206336975,0.31630668074597085,0.17918702262642972,1.7652320794954324,0.515625
-5,proposed,8,8950,0.32359009981155396,0.31630668074597085,0.17918702262642972,1.7652320794954324,0.515625
-5,oracle_sync,8,8950,0.3166341185569763,0.31630668074597085,0.0,3163066807.459708,1.0
-5,random_init,9,9950,0.45530804991722107,0.31434843759379033,1.9968454421036428,0.15742251801265467,0.03125
-5,proposed_no_update,9,9950,0.34388023614883423,0.31434843759379033,0.31434843759379033,0.9999999996818817,0.26171875
-5,proposed_tau_slice,9,9950,0.32327067852020264,0.31434843759379033,0.16462061196994893,1.9095326741964764,0.5703125
-5,proposed,9,9950,0.32349449396133423,0.31434843759379033,0.16462061196994893,1.9095326741964764,0.5703125
-5,oracle_sync,9,9950,0.3176473081111908,0.31434843759379033,0.0,3143484375.9379034,1.0
0,random_init,0,1000,0.44011232256889343,0.2983291466607543,2.0648147888618116,0.14448227911557826,0.046875
0,proposed_no_update,0,1000,0.25035199522972107,0.2983291466607543,0.2983291466607543,0.9999999996647997,0.234375
0,proposed_tau_slice,0,1000,0.21208293735980988,0.2983291466607543,0.08082932518249611,3.6908528633401643,0.78515625
0,proposed,0,1000,0.21206259727478027,0.2983291466607543,0.08082932518249611,3.6908528633401643,0.78515625
0,oracle_sync,0,1000,0.21011556684970856,0.2983291466607543,0.0,2983291466.6075425,1.0
0,random_init,1,2000,0.42939049005508423,0.30937910677802666,2.0664703241684466,0.14971379126266926,0.03125
0,proposed_no_update,1,2000,0.25477704405784607,0.30937910677802666,0.30937910677802666,0.9999999996767719,0.2578125
0,proposed_tau_slice,1,2000,0.21746623516082764,0.30937910677802666,0.0946523376473447,3.2685838949255723,0.81640625
0,proposed,1,2000,0.21694336831569672,0.30937910677802666,0.0946523376473447,3.2685838949255723,0.81640625
0,oracle_sync,1,2000,0.21334229409694672,0.30937910677802666,0.0,3093791067.7802663,1.0
0,random_init,2,3000,0.4395487606525421,0.2891106370728558,2.0031486900522064,0.144328096308661,0.01953125
0,proposed_no_update,2,3000,0.24589641392230988,0.2891106370728558,0.2891106370728558,0.9999999996541116,0.2734375
0,proposed_tau_slice,2,3000,0.21333211660385132,0.2891106370728558,0.10923129268062906,2.646774836341828,0.83203125
0,proposed,2,3000,0.21360068023204803,0.2891106370728558,0.10923129268062906,2.646774836341828,0.83203125
0,oracle_sync,2,3000,0.2098083645105362,0.2891106370728558,0.0,2891106370.7285576,1.0
0,random_init,3,4000,0.43886518478393555,0.28605138623473214,1.970664722753754,0.14515477083311062,0.046875
0,proposed_no_update,3,4000,0.25803428888320923,0.28605138623473214,0.28605138623473214,0.9999999996504124,0.2109375
0,proposed_tau_slice,3,4000,0.2245320826768875,0.28605138623473214,0.07591911633130614,3.767843985560078,0.83984375
0,proposed,3,4000,0.2257222682237625,0.28605138623473214,0.07591911633130614,3.767843985560078,0.83984375
0,oracle_sync,3,4000,0.22389528155326843,0.28605138623473214,0.0,2860513862.3473215,1.0
0,random_init,4,5000,0.4266255795955658,0.3136009387427051,2.0750408784414236,0.15113000518965186,0.03515625
0,proposed_no_update,4,5000,0.25363364815711975,0.3136009387427051,0.3136009387427051,0.9999999996811234,0.265625
0,proposed_tau_slice,4,5000,0.21116334199905396,0.3136009387427051,0.08442258835948452,3.7146567579268934,0.7890625
0,proposed,4,5000,0.2112528532743454,0.3136009387427051,0.08442258835948452,3.7146567579268934,0.7890625
0,oracle_sync,4,5000,0.20850017666816711,0.3136009387427051,0.0,3136009387.427051,1.0
0,random_init,5,6000,0.43295085430145264,0.29324891167029393,1.9185883191226756,0.15284618838350117,0.01953125
0,proposed_no_update,5,6000,0.24837037920951843,0.29324891167029393,0.29324891167029393,0.9999999996589928,0.28515625
0,proposed_tau_slice,5,6000,0.21224570274353027,0.29324891167029393,0.07841623963856978,3.7396451633991914,0.86328125
0,proposed,5,6000,0.21244508028030396,0.29324891167029393,0.07841623963856978,3.7396451633991914,0.86328125
0,oracle_sync,5,6000,0.21031291782855988,0.29324891167029393,0.0,2932489116.702939,1.0
0,random_init,6,7000,0.42940473556518555,0.3044155223475018,1.9859790713134569,0.15328234155601841,0.05078125
0,proposed_no_update,6,7000,0.2516540586948395,0.3044155223475018,0.3044155223475018,0.9999999996715017,0.2109375
