pilot_len,method,mc_idx,seed,ber,rmse_tau_init,rmse_tau_final,improvement,success_rate
16,adjoint_slice,0,16,0.1730046421289444,0.31135031595842017,0.31135031595842017,0.9999999996788184,0.2578125
16,proposed_no_update,0,16,0.165761798620224,0.31135031595842017,0.31135031595842017,0.9999999996788184,0.2578125
16,proposed,0,16,0.1041414812207222,0.31135031595842017,0.06693628998245989,4.651442671454643,0.97265625
16,oracle_sync,0,16,0.1020604744553566,0.31135031595842017,0.0,3113503159.5842013,1.0
16,adjoint_slice,1,1016,0.1652328372001648,0.29930009022708126,0.29930009022708126,0.9999999996658872,0.28125
16,proposed_no_update,1,1016,0.1602570116519928,0.29930009022708126,0.29930009022708126,0.9999999996658872,0.28125
16,proposed,1,1016,0.1074877604842186,0.29930009022708126,0.1015503244722065,2.947308061179721,0.97265625
16,oracle_sync,1,1016,0.1038818433880806,0.29930009022708126,0.0,2993000902.2708125,1.0
16,adjoint_slice,2,2016,0.199114128947258,0.3061537452260824,0.3061537452260824,0.9999999996733667,0.2734375
16,proposed_no_update,2,2016,0.1879630982875824,0.3061537452260824,0.3061537452260824,0.9999999996733667,0.2734375
16,proposed,2,2016,0.137995645403862,0.3061537452260824,0.0760188435273132,4.027340204318537,0.9921875
16,oracle_sync,2,2016,0.1360812783241272,0.3061537452260824,0.0,3061537452.260824,1.0
16,adjoint_slice,3,3016,0.1734289824962616,0.29664450441727697,0.29664450441727697,0.9999999996628961,0.25390625
16,proposed_no_update,3,3016,0.1601039469242096,0.29664450441727697,0.29664450441727697,0.9999999996628961,0.25390625
16,proposed,3,3016,0.1039380356669426,0.29664450441727697,0.027964159028207203,10.608025188858772,0.984375
16,oracle_sync,3,3016,0.103505939245224,0.29664450441727697,0.0,2966445044.1727695,1.0
16,adjoint_slice,4,4016,0.1563100814819336,0.2862900826824704,0.2862900826824704,0.9999999996507039,0.2578125
16,proposed_no_update,4,4016,0.1505882740020752,0.2862900826824704,0.2862900826824704,0.9999999996507039,0.2578125
16,proposed,4,4016,0.0993187353014946,0.2862900826824704,0.028141657802027195,10.173177560439585,0.98046875
16,oracle_sync,4,4016,0.0991424098610878,0.2862900826824704,0.0,2862900826.824704,1.0
16,adjoint_slice,5,5016,0.1629386842250824,0.280197859191554,0.280197859191554,0.9999999996431093,0.2734375
16,proposed_no_update,5,5016,0.1532505601644516,0.280197859191554,0.280197859191554,0.9999999996431093,0.2734375
16,proposed,5,5016,0.1029924750328064,0.280197859191554,0.027133251042343053,10.326733708452966,0.98046875
16,oracle_sync,5,5016,0.1025739461183548,0.280197859191554,0.0,2801978591.9155397,1.0
16,adjoint_slice,6,6016,0.1688833236694336,0.3144262775807505,0.3144262775807505,0.9999999996819604,0.21875
16,proposed_no_update,6,6016,0.1631363183259964,0.3144262775807505,0.3144262775807505,0.9999999996819604,0.21875
16,proposed,6,6016,0.1063542515039444,0.3144262775807505,0.09252813777075793,3.3981693008880924,0.9765625
16,oracle_sync,6,6016,0.104050412774086,0.3144262775807505,0.0,3144262775.8075047,1.0
16,adjoint_slice,7,7016,0.1622663289308548,0.2951676247344757,0.2951676247344757,0.9999999996612094,0.2421875
16,proposed_no_update,7,7016,0.1578252911567688,0.2951676247344757,0.2951676247344757,0.9999999996612094,0.2421875
16,proposed,7,7016,0.1013513058423996,0.2951676247344757,0.03700326328649254,7.976799820369952,0.98828125
16,oracle_sync,7,7016,0.100613072514534,0.2951676247344757,0.0,2951676247.344757,1.0
16,adjoint_slice,8,8016,0.1625550389289856,0.3053964722466528,0.3053964722466528,0.9999999996725568,0.234375
16,proposed_no_update,8,8016,0.1498481035232544,0.3053964722466528,0.3053964722466528,0.9999999996725568,0.234375
16,proposed,8,8016,0.0894077867269516,0.3053964722466528,0.04259398344731809,7.169943893775156,0.97265625
16,oracle_sync,8,8016,0.0878499373793602,0.3053964722466528,0.0,3053964722.466528,1.0
16,adjoint_slice,9,9016,0.1619369387626648,0.298133858187163,0.298133858187163,0.9999999996645802,0.296875
16,proposed_no_update,9,9016,0.154172882437706,0.298133858187163,0.298133858187163,0.9999999996645802,0.296875
16,proposed,9,9016,0.0964336171746254,0.298133858187163,0.0356831560665275,8.355030502229697,0.98046875
16,oracle_sync,9,9016,0.0957515686750412,0.298133858187163,0.0,2981338581.8716297,1.0
32,adjoint_slice,0,32,0.1671457588672638,0.290085915594361,0.290085915594361,0.9999999996552745,0.328125
32,proposed_no_update,0,32,0.16540132462978363,0.290085915594361,0.290085915594361,0.9999999996552745,0.328125
32,proposed,0,32,0.1141810193657875,0.290085915594361,0.0630431246183611,4.6013886032821345,0.98046875
32,oracle_sync,0,32,0.11258229613304138,0.290085915594361,0.0,2900859155.9436097,1.0
32,adjoint_slice,1,1032,0.1682443916797638,0.307433087722551,0.307433087722551,0.999999999674726,0.26171875
32,proposed_no_update,1,1032,0.16128835082054138,0.307433087722551,0.307433087722551,0.999999999674726,0.26171875
32,proposed,1,1032,0.09836307168006897,0.307433087722551,0.032664465832682496,9.411851041928355,0.9765625
32,oracle_sync,1,1032,0.09765034168958664,0.307433087722551,0.0,3074330877.22551,1.0
32,adjoint_slice,2,2032,0.17052631080150604,0.2997479987090398,0.2997479987090398,0.9999999996663864,0.2109375
32,proposed_no_update,2,2032,0.16400539875030518,0.2997479987090398,0.2997479987090398,0.9999999996663864,0.2109375
32,proposed,2,2032,0.10806962847709656,0.2997479987090398,0.09223281504754346,3.2499062099485676,0.9765625
32,oracle_sync,2,2032,0.10676426440477371,0.2997479987090398,0.0,2997479987.090398,1.0
