init_error,snr_db,method,mc_idx,seed,mf_grid_points,mf_search_half_range,ber,rmse_tau_init,rmse_tau_final,improvement,success_rate
0.0,15.0,matched_filter,7,7000,41,1.7,0.1030985563993454,0.0,0.026562508703019225,0.0,1.0
0.0,15.0,proposed_no_update,7,7000,41,1.7,0.10131022334098816,0.0,0.0,0.0,1.0
0.0,15.0,proposed,7,7000,41,1.7,0.10175985097885132,0.0,0.02491356497078406,0.0,0.9921875
0.0,15.0,oracle_sync,7,7000,41,1.7,0.10131022334098816,0.0,0.0,0.0,1.0
0.0,15.0,naive_slice,8,8000,41,1.7,0.5119873285293579,0.0,0.0,0.0,1.0
0.0,15.0,adjoint_lmmse,8,8000,41,1.7,0.0917256698012352,0.0,0.0,0.0,1.0
0.0,15.0,adjoint_slice,8,8000,41,1.7,0.0917256698012352,0.0,0.0,0.0,1.0
0.0,15.0,matched_filter,8,8000,41,1.7,0.0919596403837204,0.0,0.021250006962422904,0.0,1.0
0.0,15.0,proposed_no_update,8,8000,41,1.7,0.09142456203699112,0.0,0.0,0.0,1.0
0.0,15.0,proposed,8,8000,41,1.7,0.09170329570770264,0.0,0.020389473592133736,0.0,0.99609375
0.0,15.0,oracle_sync,8,8000,41,1.7,0.09142456203699112,0.0,0.0,0.0,1.0
0.0,15.0,naive_slice,9,9000,41,1.7,0.4951741695404053,0.0,0.0,0.0,1.0
0.0,15.0,adjoint_lmmse,9,9000,41,1.7,0.1076660230755806,0.0,0.0,0.0,1.0
0.0,15.0,adjoint_slice,9,9000,41,1.7,0.1076660230755806,0.0,0.0,0.0,1.0
0.0,15.0,matched_filter,9,9000,41,1.7,0.10808920115232468,0.0,0.023758230045156044,0.0,1.0
0.0,15.0,proposed_no_update,9,9000,41,1.7,0.10894572734832764,0.0,0.0,0.0,1.0
0.0,15.0,proposed,9,9000,41,1.7,0.1093750074505806,0.0,0.02146708444955994,0.0,1.0
0.0,15.0,oracle_sync,9,9000,41,1.7,0.10894572734832764,0.0,0.0,0.0,1.0
0.1,15.0,naive_slice,0,10,41,1.7,0.5020650625228882,0.096518330952865,0.096518330952865,0.9999999989639274,0.671875
0.1,15.0,adjoint_lmmse,0,10,41,1.7,0.09999796748161316,0.096518330952865,0.096518330952865,0.9999999989639274,0.671875
0.1,15.0,adjoint_slice,0,10,41,1.7,0.09999796748161316,0.096518330952865,0.096518330952865,0.9999999989639274,0.671875
