snr_db,fim_tau,crlb_tau,crlb_tau_samples,sigma2,alpha,epsilon_samples
-5,2.5824862175185245e+23,3.872237509793513e-24,0.01967800170188404,1.6247221404338774,0.7978845608028654,0.001
0,2.5827074048455847e+23,3.871905884978822e-24,0.019677159055561912,1.624582996546814,0.7978845608028654,0.001
5,2.583077662958555e+23,3.871350886347875e-24,0.019675748743943327,1.6243501289705538,0.7978845608028654,0.001
10,2.5836079973409508e+23,3.8705562183938115e-24,0.01967372923061058,1.624016700399606,0.7978845608028654,0.001
15,2.5832766746437413e+23,3.871052643394884e-24,0.01967499083454649,1.6242249915202478,0.7978845608028654,0.001
20,2.5834861073346824e+23,3.870738832931735e-24,0.019674193332718203,1.6240933222189493,0.7978845608028654,0.001
25,2.5835283654602585e+23,3.870675520227349e-24,0.019674032429137015,1.624066757331768,0.7978845608028654,0.001
