adc_bits,snr_db,method,mc_idx,seed,ber,rmse_tau_init,rmse_tau_final,improvement,success_rate
1,15.0,naive_slice,0,10,0.5020650625228882,0.2895549990716783,0.2895549990716783,0.9999999996546425,0.2734375
1,15.0,adjoint_slice,0,10,0.15295003354549408,0.2895549990716783,0.2895549990716783,0.9999999996546425,0.2734375
1,15.0,proposed,0,10,0.09523722529411316,0.2895549990716783,0.027478630984779227,10.537460842875342,0.98828125
1,15.0,oracle_sync,0,10,0.0946350172162056,0.2895549990716783,0.0,2895549990.716783,1.0
1,15.0,naive_slice,1,1010,0.49548953771591187,0.29258703207650133,0.29258703207650133,0.9999999996582213,0.2421875
1,15.0,adjoint_slice,1,1010,0.17093710601329803,0.29258703207650133,0.29258703207650133,0.9999999996582213,0.2421875
1,15.0,proposed,1,1010,0.12235921621322632,0.29258703207650133,0.09670719908422483,3.0254938054728506,0.98046875
1,15.0,oracle_sync,1,1010,0.1205037534236908,0.29258703207650133,0.0,2925870320.765013,1.0
1,15.0,naive_slice,2,2010,0.49906617403030396,0.30242375470217964,0.30242375470217964,0.9999999996693382,0.2265625
1,15.0,adjoint_slice,2,2010,0.16016235947608948,0.30242375470217964,0.30242375470217964,0.9999999996693382,0.2265625
1,15.0,proposed,2,2010,0.0988871306180954,0.30242375470217964,0.030868727362493457,9.79709173530508,0.984375
1,15.0,oracle_sync,2,2010,0.09848633408546448,0.30242375470217964,0.0,3024237547.021796,1.0
1,15.0,naive_slice,3,3010,0.49808353185653687,0.30407651648154954,0.30407651648154954,0.9999999996711354,0.26953125
1,15.0,adjoint_slice,3,3010,0.1590474545955658,0.30407651648154954,0.30407651648154954,0.9999999996711354,0.26953125
1,15.0,proposed,3,3010,0.10288900136947632,0.30407651648154954,0.09281857226415871,3.276030957344984,0.98828125
1,15.0,oracle_sync,3,3010,0.1009623259305954,0.30407651648154954,0.0,3040765164.8154955,1.0
1,15.0,naive_slice,4,4010,0.4936259090900421,0.2933787365765219,0.2933787365765219,0.9999999996591437,0.2890625
1,15.0,adjoint_slice,4,4010,0.15448608994483948,0.2933787365765219,0.2933787365765219,0.9999999996591437,0.2890625
1,15.0,proposed,4,4010,0.09792277216911316,0.2933787365765219,0.08283110890204796,3.541890723318316,0.98828125
1,15.0,oracle_sync,4,4010,0.0963948592543602,0.2933787365765219,0.0,2933787365.765219,1.0
1,15.0,naive_slice,5,5010,0.5047281980514526,0.3289509096124516,0.3289509096124516,0.9999999996960033,0.27734375
1,15.0,adjoint_slice,5,5010,0.17725220322608948,0.3289509096124516,0.3289509096124516,0.9999999996960033,0.27734375
1,15.0,proposed,5,5010,0.1058349683880806,0.3289509096124516,0.02830788073992345,11.620471043827566,0.9921875
1,15.0,oracle_sync,5,5010,0.10527954995632172,0.3289509096124516,0.0,3289509096.124516,1.0
1,15.0,naive_slice,6,6010,0.49317222833633423,0.2984811084934064,0.2984811084934064,0.9999999996649704,0.2421875
1,15.0,adjoint_slice,6,6010,0.15860189497470856,0.2984811084934064,0.2984811084934064,0.9999999996649704,0.2421875
1,15.0,proposed,6,6010,0.10022787004709244,0.2984811084934064,0.02532183639965902,11.787498450099609,0.99609375
1,15.0,oracle_sync,6,6010,0.09977417439222336,0.2984811084934064,0.0,2984811084.934064,1.0
1,15.0,naive_slice,7,7010,0.4920918941497803,0.2833897153720147,0.2833897153720147,0.999999999647129,0.2421875
1,15.0,adjoint_slice,7,7010,0.16032512485980988,0.2833897153720147,0.2833897153720147,0.999999999647129,0.2421875
1,15.0,proposed,7,7010,0.10909831523895264,0.2833897153720147,0.037809862140696184,7.495126894881717,0.98828125
1,15.0,oracle_sync,7,7010,0.10809733718633652,0.2833897153720147,0.0,2833897153.7201467,1.0
1,15.0,naive_slice,8,8010,0.5079874992370605,0.3247969391243127,0.3247969391243127,0.9999999996921153,0.22265625
1,15.0,adjoint_slice,8,8010,0.17452189326286316,0.3247969391243127,0.3247969391243127,0.9999999996921153,0.22265625
1,15.0,proposed,8,8010,0.10776571184396744,0.3247969391243127,0.06625010285206769,4.902587688947519,0.97265625
1,15.0,oracle_sync,8,8010,0.10554403066635132,0.3247969391243127,0.0,3247969391.243127,1.0
1,15.0,naive_slice,9,9010,0.49354657530784607,0.3160239015841335,0.3160239015841335,0.9999999996835682,0.28125
1,15.0,adjoint_slice,9,9010,0.17241822183132172,0.3160239015841335,0.3160239015841335,0.9999999996835682,0.28125
1,15.0,proposed,9,9010,0.11137085407972336,0.3160239015841335,0.08016803534114353,3.9420187839846323,0.9765625
1,15.0,oracle_sync,9,9010,0.10940959304571152,0.3160239015841335,0.0,3160239015.841335,1.0
2,15.0,naive_slice,0,20,0.5038330554962158,0.2801229142869961,0.2801229142869961,0.9999999996430138,0.25390625
2,15.0,adjoint_slice,0,20,0.15679322183132172,0.2801229142869961,0.2801229142869961,0.9999999996430138,0.25390625
2,15.0,proposed,0,20,0.15633341670036316,0.2801229142869961,0.28043453010971725,0.9988888104382576,0.25
2,15.0,oracle_sync,0,20,0.10896199941635132,0.2801229142869961,0.0,2801229142.869961,1.0
2,15.0,naive_slice,1,1020,0.49553632736206055,0.30950819558033277,0.30950819558033277,0.9999999996769068,0.23828125
2,15.0,adjoint_slice,1,1020,0.1587219387292862,0.30950819558033277,0.30950819558033277,0.9999999996769068,0.23828125
2,15.0,proposed,1,1020,0.15819703042507172,0.30950819558033277,0.30536674735794955,1.013562210544727,0.23046875
2,15.0,oracle_sync,1,1020,0.09523925930261612,0.30950819558033277,0.0,3095081955.8033276,1.0
