snr_db,mc_idx,mc_seed,gamma_eff,chi,BER_Net,NMSE_Net,BER_LMMSE,BER_GAMP
1,8,594336918,132.92607023104395,0.43808836509538446,,,0.1876220703125,0.1876220703125
1,9,1356488968,115.4295634771083,0.4382824609933084,,,0.18306732177734375,0.18306732177734375
3,0,354826746,29.113050521689207,0.37927097005920823,,,0.144989013671875,0.144989013671875
3,1,1627981025,160.7750352040474,0.37095784873440313,,,0.15167999267578125,0.15167999267578125
3,2,1504361615,187.5510831514804,0.3706866619023865,,,0.14572906494140625,0.14572906494140625
3,3,761338719,190.0885091713883,0.3706649020024814,,,0.1436920166015625,0.1436920166015625
3,4,145857092,188.6132064386542,0.37067748276949974,,,0.14458465576171875,0.14458465576171875
3,5,2084558134,74.02452191592799,0.3731631848422432,,,0.15340423583984375,0.15340423583984375
3,6,957106590,313.4194033104941,0.37003044905317894,,,0.1400909423828125,0.1400909423828125
3,7,1917963003,186.92932329695284,0.3706920834118964,,,0.1404876708984375,0.1404876708984375
3,8,1455819992,51.57015407535126,0.37491627385456067,,,0.14873504638671875,0.14873504638671875
3,9,1671565831,129.2908132880696,0.3714191335378384,,,0.149566650390625,0.149566650390625
5,0,1631871624,374.59465935624394,0.2975568218090125,,,0.10787200927734375,0.10787200927734375
5,1,417983442,226.77314521322427,0.29841939796143396,,,0.10774993896484375,0.10774993896484375
5,2,781482251,318.41838338823635,0.29779071242811106,,,0.1073760986328125,0.1073760986328125
5,3,1002275723,177.7936458007351,0.299018971723482,,,0.10746002197265625,0.10746002197265625
5,4,1068999196,49.7083745446625,0.30601142009040233,,,0.11928558349609375,0.11928558349609375
5,5,94067870,78.79316592636395,0.30246518375873416,,,0.1087188720703125,0.1087188720703125
5,6,1173749072,477.55112044485946,0.297270563620409,,,0.11797332763671875,0.11797332763671875
5,7,331334161,264.0591523730298,0.2981112528359176,,,0.10727691650390625,0.10727691650390625
5,8,1596387605,49.85411168995412,0.30598363176074106,,,0.11334228515625,0.11334228515625
