step,loss,loss_comm,loss_sens,BER,RMSE_tau_samples,RMSE_v,RMSE_a,g_theta,accept_rate,resid_improve
0,0.9296958151673864,0.9294238345748711,0.00022627337602898479,0.09582185745239258,0.026184124313211043,0.0,0.0,0.6997296810150146,1.0,6.705116528564875e-05
1,0.927361550908306,0.9264420473264794,0.0008167087798938155,0.14168596267700195,0.03917645288037397,0.5023501515388489,0.05292046070098877,0.7128256559371948,1.0,0.00011074896659410931
2,0.9253367360359258,0.9238162380495775,0.0013226605951786041,0.20952749252319336,0.0532508282261035,1.0088824033737183,0.09892361611127853,0.6835057139396667,1.0,0.00031946439374687456
3,0.9235064258490133,0.9218210658753783,0.0015935798874124885,0.1681079864501953,0.03444091149426565,1.547235131263733,0.15354666113853455,0.6948341727256775,1.0,9.837722463642317e-05
4,137.12551441352028,0.9173963627281558,136.20806884765625,0.09232091903686523,0.019988427146094834,2.02144455909729,0.20601899921894073,0.7020530700683594,1.0,5.23653932909392e-05
5,1.0823676957706954,0.9152602067306322,0.1670394241809845,0.12178516387939453,0.021545514938131616,2.5031566619873047,0.2516339123249054,0.7164700031280518,1.0,6.839077934587206e-05
6,294.78935799602044,0.9110917399797567,293.878173828125,0.0928959846496582,0.021661734905809027,2.9692320823669434,0.30428045988082886,0.7141758799552917,1.0,0.0001093946876292245
7,427.63287348230705,0.9085236986681379,426.7242431640625,0.10094213485717773,0.018835414998530364,3.5779497623443604,0.3465341031551361,0.7026047706604004,1.0,8.629139820039771e-05
8,550.0467399406127,0.9045838155663899,549.1419677734375,0.14554357528686523,0.0411362437169327,4.058846950531006,0.40939438343048096,0.6739246845245361,1.0,0.00019847994105331852
9,1.0233695272335173,0.9044385851892731,0.11877040565013885,0.15761661529541016,0.020010761710848035,4.541926860809326,0.448283314704895,0.7169364094734192,1.0,0.00011263162754448479
10,2.6508081589481067,0.8994012500251617,1.7512038946151733,0.11464786529541016,0.023380110781429098,4.992739200592041,0.5008271336555481,0.7439002990722656,1.0,0.00014321978399943697
11,982.6766324743111,0.8962699427246519,981.7801513671875,0.10117578506469727,0.018428988803748103,5.427098751068115,0.5577675104141235,0.7007891535758972,1.0,0.00012821986267498144
12,1.1292508018784413,0.8927424211694582,0.23624157905578613,0.10973501205444336,0.02666128385772626,6.005643844604492,0.5833687782287598,0.7057169079780579,1.0,0.00021092569441286615
13,1.5642921348522045,0.8900258245599085,0.6739625334739685,0.10797262191772461,0.02237993427731122,6.400060176849365,0.6745010614395142,0.7453780174255371,1.0,0.00020693844850623426
14,1716.0619789981117,0.8869698940959905,1715.1746826171875,0.10105371475219727,0.019312429259954467,7.1732306480407715,0.7076866626739502,0.709476888179779,1.0,0.00019952523478765778
15,1948.469936562736,0.8838936535806101,1947.585693359375,0.09796142578125,0.018497614464457746,7.643792152404785,0.7269720435142517,0.6889241933822632,1.0,0.00022428842715607866
16,12.65201980183858,0.8810837667531113,11.77049446105957,0.1032557487487793,0.017806892028612853,8.15088176727295,0.7875038981437683,0.7327763438224792,1.0,0.00023853828306253616
17,0.9670842369872846,0.8774720442801484,0.08912616968154907,0.11424779891967773,0.027814792569885727,8.687173843383789,0.8256507515907288,0.7109348773956299,1.0,0.00036862867708152943
18,0.9669402880577225,0.8750876285235252,0.09128831326961517,0.1766338348388672,0.0424713085880879,9.002986907958984,0.879305899143219,0.714417576789856,1.0,0.0006103345119488686
19,4.362049523705458,0.8710027814603687,3.4904513359069824,0.09134674072265625,0.023955366770106457,9.401347160339355,0.9657768607139587,0.7083883881568909,1.0,0.00037553760352196906
20,0.8804235296845311,0.870061070687125,0.009660018607974052,0.24761581420898438,0.05391259487452782,9.668896675109863,1.0072654485702515,0.7205796241760254,1.0,0.0010401213265085667
21,1.640716290121072,0.8646770086685315,0.7752711176872253,0.10623693466186523,0.03284003928169521,10.428492546081543,1.073643684387207,0.6911421418190002,1.0,0.0006108503230627763
22,0.9057132390389265,0.8628758547074208,0.04202548414468765,0.13531112670898438,0.031020290502947745,11.20628547668457,1.0965656042099,0.7169591784477234,1.0,0.0006895889075936931
23,4672.436982870912,0.8599386656962555,4671.576171875,0.10330867767333984,0.018151009124542372,11.83838176727295,1.1534842252731323,0.7046442031860352,1.0,0.00048756350282851883
24,13.83396327625357,0.8571864146678934,12.97585678100586,0.1084752082824707,0.017492397504439983,12.33024787902832,1.1839840412139893,0.7264019846916199,1.0,0.000607735045055499
25,17.99601198395077,0.8530754822987673,17.14191246032715,0.09123897552490234,0.023069790435620297,12.76866626739502,1.2354742288589478,0.7203024625778198,1.0,0.0009138995068523409
26,5599.671288944723,0.849862378148723,5598.8203125,0.08935213088989258,0.025283197844366834,12.960115432739258,1.3149487972259521,0.7136573791503906,1.0,0.0009188332735341311
27,0.955034509656837,0.8489493688166866,0.1048661470413208,0.16167259216308594,0.030568327816921093,14.110429763793945,1.3802975416183472,0.7385687828063965,1.0,0.0010272824933665967
28,61.73834890174287,0.844729729118554,60.89225387573242,0.09937381744384766,0.020752906771531743,14.195796012878418,1.4062774181365967,0.7338945865631104,1.0,0.0009909402952222787
29,0.9354913761291435,0.841625060808078,0.09257511794567108,0.20358705520629883,0.05361170708761964,14.960356712341309,1.4664106369018555,0.6886468529701233,1.0,0.002208481334045168
30,7694.611792982269,0.8388592635207435,7693.771484375,0.09877300262451172,0.019006649552844035,15.192535400390625,1.5249419212341309,0.7138141989707947,1.0,0.0010839870756167655
31,1.451520827828522,0.8354982816349598,0.6145960688591003,0.12033653259277344,0.03141331379047374,15.505986213684082,1.6350018978118896,0.7199325561523438,1.0,0.0014264103907573216
32,1.0789596355817528,0.8322994819673957,0.24507956206798553,0.10376501083374023,0.027548258813014925,15.458341598510742,1.560404896736145,0.6964044570922852,1.0,0.001739498653718935
33,9018.288992365904,0.8301905401412045,9017.45703125,0.0996561050415039,0.016524573593149072,16.447603225708008,1.6361572742462158,0.7080681324005127,1.0,0.0016054654356014158
34,4.0641356095456125,0.8273023678938467,3.234954357147217,0.11761617660522461,0.024960580477517702,17.054664611816406,1.714360237121582,0.736204981803894,1.0,0.0021816094075680324
35,0.8971687673248006,0.8258191446430636,0.06945230066776276,0.19803810119628906,0.038170694903472135,17.50461196899414,1.7214686870574951,0.6881814002990723,1.0,0.0024368108399575915
36,1.1062113868629138,0.8209483532791535,0.2832905650138855,0.11878728866577148,0.03005402567438087,17.648794174194336,1.8337161540985107,0.7013497948646545,1.0,0.0021706714836272614
